scRNASeq_sample_ID,CellType,CellType_Count,TotalPBMC_Count,Percentage
S00106-Ja003E-PBCa,ERYTH,0,6716,0
S00106-Ja003E-PBCa,HSC,4,6716,0.06
S00106-Ja003E-PBCa,MNP,2651,6716,39.473
S00106-Ja003E-PBCa,MNP|PLT,19,6716,0.283
S00106-Ja003E-PBCa,NK,886,6716,13.192
S00106-Ja003E-PBCa,PB,17,6716,0.253
S00106-Ja003E-PBCa,PLT,3,6716,0.045
S00106-Ja003E-PBCa,T,2893,6716,43.076
S00109-Ja005E-PBCa,B,285,3224,8.84
S00109-Ja005E-PBCa,ERYTH,2,3224,0.062
S00109-Ja005E-PBCa,HSC,3,3224,0.093
S00109-Ja005E-PBCa,MNP,555,3224,17.215
S00109-Ja005E-PBCa,MNP|PLT,4,3224,0.124
S00109-Ja005E-PBCa,NK,840,3224,26.055
S00109-Ja005E-PBCa,PB,119,3224,3.691
S00109-Ja005E-PBCa,PLT,7,3224,0.217
S00109-Ja005E-PBCa,T,1409,3224,43.703
S00112-Ja003E-PBCa,B,1290,7432,17.357
S00112-Ja003E-PBCa,ERYTH,0,7432,0
S00112-Ja003E-PBCa,HSC,10,7432,0.135
S00112-Ja003E-PBCa,MNP,1981,7432,26.655
S00112-Ja003E-PBCa,MNP|PLT,70,7432,0.942
S00112-Ja003E-PBCa,NK,563,7432,7.575
S00112-Ja003E-PBCa,PB,208,7432,2.799
S00112-Ja003E-PBCa,PLT,5,7432,0.067
S00112-Ja003E-PBCa,T,3305,7432,44.47
S00113-Ja005E-PBCa,B,219,6152,3.56
S00113-Ja005E-PBCa,ERYTH,1,6152,0.016
S00113-Ja005E-PBCa,HSC,17,6152,0.276
S00113-Ja005E-PBCa,MNP,1563,6152,25.406
S00113-Ja005E-PBCa,MNP|PLT,43,6152,0.699
S00113-Ja005E-PBCa,NK,350,6152,5.689
S00113-Ja005E-PBCa,PB,60,6152,0.975
S00113-Ja005E-PBCa,PLT,6,6152,0.098
S00113-Ja005E-PBCa,T,3893,6152,63.28
S00114-Ja003E-PBCa,B,176,7664,2.296
S00114-Ja003E-PBCa,ERYTH,0,7664,0
S00114-Ja003E-PBCa,HSC,2,7664,0.026
S00114-Ja003E-PBCa,MNP,1451,7664,18.933
S00114-Ja003E-PBCa,MNP|PLT,18,7664,0.235
S00114-Ja003E-PBCa,NK,539,7664,7.033
S00114-Ja003E-PBCa,PB,86,7664,1.122
S00114-Ja003E-PBCa,PLT,0,7664,0
S00114-Ja003E-PBCa,T,5392,7664,70.355
S00124-Ja005E-PBCa,B,273,6384,4.276
S00124-Ja005E-PBCa,ERYTH,0,6384,0
S00124-Ja005E-PBCa,HSC,8,6384,0.125
S00124-Ja005E-PBCa,MNP,2424,6384,37.97
S00124-Ja005E-PBCa,MNP|PLT,38,6384,0.595
S00124-Ja005E-PBCa,NK,276,6384,4.323
S00124-Ja005E-PBCa,PB,57,6384,0.893
S00124-Ja005E-PBCa,PLT,10,6384,0.157
S00124-Ja005E-PBCa,T,3298,6384,51.66
S00126-Ja003E-PBCa,B,169,6495,2.602
S00126-Ja003E-PBCa,ERYTH,0,6495,0
S00126-Ja003E-PBCa,HSC,2,6495,0.031
S00126-Ja003E-PBCa,MNP,2405,6495,37.028
S00126-Ja003E-PBCa,MNP|PLT,20,6495,0.308
S00126-Ja003E-PBCa,NK,360,6495,5.543
S00126-Ja003E-PBCa,PB,167,6495,2.571
S00126-Ja003E-PBCa,PLT,12,6495,0.185
S00126-Ja003E-PBCa,T,3360,6495,51.732
S00134-Ja003E-PBCa,B,311,5774,5.386
S00134-Ja003E-PBCa,ERYTH,1,5774,0.017
S00134-Ja003E-PBCa,HSC,11,5774,0.191
S00134-Ja003E-PBCa,MNP,3083,5774,53.395
S00134-Ja003E-PBCa,MNP|PLT,76,5774,1.316
S00134-Ja003E-PBCa,NK,393,5774,6.806
S00134-Ja003E-PBCa,PB,124,5774,2.148
S00134-Ja003E-PBCa,PLT,17,5774,0.294
S00134-Ja003E-PBCa,T,1758,5774,30.447
S00148-Ja003E-PBCa,B,424,5348,7.928
S00148-Ja003E-PBCa,ERYTH,1,5348,0.019
S00148-Ja003E-PBCa,HSC,26,5348,0.486
S00148-Ja003E-PBCa,MNP,1277,5348,23.878
S00148-Ja003E-PBCa,MNP|PLT,23,5348,0.43
S00148-Ja003E-PBCa,NK,776,5348,14.51
S00148-Ja003E-PBCa,PB,114,5348,2.132
S00148-Ja003E-PBCa,PLT,13,5348,0.243
S00148-Ja003E-PBCa,T,2694,5348,50.374
U00501-Ua005E-PBUa,B,140,1171,11.956
U00501-Ua005E-PBUa,ERYTH,6,1171,0.512
U00501-Ua005E-PBUa,HSC,15,1171,1.281
U00501-Ua005E-PBUa,MNP,41,1171,3.501
U00501-Ua005E-PBUa,MNP|PLT,1,1171,0.085
U00501-Ua005E-PBUa,NK,21,1171,1.793
U00501-Ua005E-PBUa,PB,58,1171,4.953
U00501-Ua005E-PBUa,PLT,10,1171,0.854
U00501-Ua005E-PBUa,T,879,1171,75.064
U00502-Ua005E-PBUa,B,18,3722,0.484
U00502-Ua005E-PBUa,ERYTH,0,3722,0
U00502-Ua005E-PBUa,HSC,13,3722,0.349
U00502-Ua005E-PBUa,MNP,1859,3722,49.946
U00502-Ua005E-PBUa,MNP|PLT,17,3722,0.457
U00502-Ua005E-PBUa,NK,1021,3722,27.431
U00502-Ua005E-PBUa,PB,3,3722,0.081
U00502-Ua005E-PBUa,PLT,9,3722,0.242
U00502-Ua005E-PBUa,T,782,3722,21.01
U00503-Ua005E-PBUa,B,39,1731,2.253
U00503-Ua005E-PBUa,ERYTH,0,1731,0
U00503-Ua005E-PBUa,HSC,0,1731,0
U00503-Ua005E-PBUa,MNP,685,1731,39.573
U00503-Ua005E-PBUa,MNP|PLT,6,1731,0.347
U00503-Ua005E-PBUa,NK,111,1731,6.412
U00503-Ua005E-PBUa,PB,9,1731,0.52
U00503-Ua005E-PBUa,PLT,1,1731,0.058
U00503-Ua005E-PBUa,T,880,1731,50.838
U00505-Ua005E-PBUa,B,124,3300,3.758
U00505-Ua005E-PBUa,ERYTH,0,3300,0
U00505-Ua005E-PBUa,HSC,22,3300,0.667
U00505-Ua005E-PBUa,MNP,1231,3300,37.303
U00505-Ua005E-PBUa,MNP|PLT,40,3300,1.212
U00505-Ua005E-PBUa,NK,37,3300,1.121
U00505-Ua005E-PBUa,PB,10,3300,0.303
U00505-Ua005E-PBUa,PLT,56,3300,1.697
U00505-Ua005E-PBUa,T,1780,3300,53.939
U00601-Ua005E-PBUa,B,11,620,1.774
U00601-Ua005E-PBUa,ERYTH,4,620,0.645
U00601-Ua005E-PBUa,HSC,0,620,0
U00601-Ua005E-PBUa,MNP,127,620,20.484
U00601-Ua005E-PBUa,MNP|PLT,1,620,0.161
U00601-Ua005E-PBUa,NK,95,620,15.323
U00601-Ua005E-PBUa,PB,31,620,5
U00601-Ua005E-PBUa,PLT,3,620,0.484
U00601-Ua005E-PBUa,T,348,620,56.129
U00605-Ua005E-PBUa,B,39,1700,2.294
U00605-Ua005E-PBUa,ERYTH,1,1700,0.059
U00605-Ua005E-PBUa,HSC,0,1700,0
U00605-Ua005E-PBUa,MNP,1382,1700,81.294
U00605-Ua005E-PBUa,MNP|PLT,9,1700,0.529
U00605-Ua005E-PBUa,NK,18,1700,1.059
U00605-Ua005E-PBUa,PB,6,1700,0.353
U00605-Ua005E-PBUa,PLT,13,1700,0.765
U00605-Ua005E-PBUa,T,232,1700,13.647
U00607-Ua005E-PBUa,B,37,1081,3.423
U00607-Ua005E-PBUa,ERYTH,1,1081,0.093
U00607-Ua005E-PBUa,HSC,7,1081,0.648
U00607-Ua005E-PBUa,MNP,757,1081,70.028
U00607-Ua005E-PBUa,MNP|PLT,60,1081,5.55
U00607-Ua005E-PBUa,NK,60,1081,5.55
U00607-Ua005E-PBUa,PB,12,1081,1.11
U00607-Ua005E-PBUa,PLT,20,1081,1.85
U00607-Ua005E-PBUa,T,127,1081,11.748
U00617-Ua005E-PBUa,B,26,1138,2.285
U00617-Ua005E-PBUa,ERYTH,1,1138,0.088
U00617-Ua005E-PBUa,HSC,11,1138,0.967
U00617-Ua005E-PBUa,MNP,127,1138,11.16
U00617-Ua005E-PBUa,MNP|PLT,4,1138,0.351
U00617-Ua005E-PBUa,NK,86,1138,7.557
U00617-Ua005E-PBUa,PB,200,1138,17.575
U00617-Ua005E-PBUa,PLT,9,1138,0.791
U00617-Ua005E-PBUa,T,674,1138,59.227
U00619-Ua005E-PBUa,B,71,2024,3.508
U00619-Ua005E-PBUa,ERYTH,0,2024,0
U00619-Ua005E-PBUa,HSC,25,2024,1.235
U00619-Ua005E-PBUa,MNP,316,2024,15.613
U00619-Ua005E-PBUa,MNP|PLT,17,2024,0.84
U00619-Ua005E-PBUa,NK,353,2024,17.441
U00619-Ua005E-PBUa,PB,57,2024,2.816
U00619-Ua005E-PBUa,PLT,91,2024,4.496
U00619-Ua005E-PBUa,T,1094,2024,54.051
U00701-Ua005E-PBUa,B,9,876,1.027
U00701-Ua005E-PBUa,ERYTH,2,876,0.228
U00701-Ua005E-PBUa,HSC,1,876,0.114
U00701-Ua005E-PBUa,MNP,250,876,28.539
U00701-Ua005E-PBUa,MNP|PLT,4,876,0.457
U00701-Ua005E-PBUa,NK,112,876,12.785
U00701-Ua005E-PBUa,PB,0,876,0
U00701-Ua005E-PBUa,PLT,3,876,0.342
U00701-Ua005E-PBUa,T,495,876,56.507
