method,donor,pair,status,deviance,interval_covered,interval_width
original_hierarchy,C-8822,30,SCORED,0.0007361598179096555,,
original_hierarchy,C-8822,31,SCORED,0.00501433944801908,,
original_hierarchy,C-8822,32,SCORED,6.982351137165888e-06,,
original_hierarchy,C-8822,33,SCORED,0.0010382503731375201,,
original_hierarchy,C-8822,34,SCORED,0.003028076924354287,,
original_hierarchy,C-8822,35,SCORED,0.00031890782223182364,,
original_hierarchy,C-8822,36,SCORED,0.005006013761243004,,
original_hierarchy,C-8822,37,SCORED,0.00039943443301030095,,
original_hierarchy,C-8822,38,SCORED,0.009447048216769352,,
original_hierarchy,C-8822,39,SCORED,0.00041604062160969244,,
original_hierarchy,C-8822,40,SCORED,0.003487194401416203,,
original_hierarchy,C-8822,41,SCORED,0.0050904307903582345,,
original_hierarchy,C-8822,42,SCORED,0.008230793721346611,,
original_hierarchy,C-8822,43,SCORED,5.2858210162674184e-05,,
original_hierarchy,C-8822,44,SCORED,0.002975609865915923,,
original_hierarchy,C-8822,45,SCORED,0.009429461437475861,,
original_hierarchy,C-8822,46,SCORED,0.016342040326295597,,
original_hierarchy,C-8822,47,SCORED,0.003087127257535585,,
original_hierarchy,C-8822,48,SCORED,0.0005344342812791374,,
original_hierarchy,C-8822,49,SCORED,0.00038791221283784004,,
original_hierarchy,C-8822,50,SCORED,0.00472812985351,,
original_hierarchy,C-8822,51,SCORED,0.0017188715698973414,,
original_hierarchy,C-8822,52,SCORED,0.0012365292035392966,,
original_hierarchy,C-8822,53,SCORED,0.0017633383285782789,,
original_hierarchy,C-8822,54,SCORED,0.01622827671510642,,
original_hierarchy,C-8822,55,SCORED,0.0019837464609003784,,
original_hierarchy,C-8822,56,SCORED,0.0006394890279310152,,
original_hierarchy,C-8822,57,SCORED,0.005894774940435603,,
original_hierarchy,C-8822,58,SCORED,0.003268735433658864,,
original_hierarchy,C-8822,59,SCORED,0.036694642185442106,,
original_hierarchy,C-8822,60,SCORED,0.00018280220623666417,,
original_hierarchy,C-8822,61,SCORED,0.003930894746977779,,
original_hierarchy,C-8822,62,SCORED,2.321465903726977e-05,,
original_hierarchy,C-8822,63,SCORED,0.013090272773243317,,
original_hierarchy,C-8822,64,SCORED,0.00013325158756630727,,
original_hierarchy,C-8822,65,SCORED,0.00519591513576334,,
original_hierarchy,C-8822,66,SCORED,0.00010071336871191657,,
original_hierarchy,C-8822,67,SCORED,2.8629841816389667e-05,,
original_hierarchy,C-8822,68,SCORED,0.0025319321303683556,,
original_hierarchy,C-8822,69,SCORED,9.362086166891676e-05,,
original_hierarchy,C-8822,70,SCORED,0.0007328365559187873,,
original_hierarchy,C-8822,71,SCORED,0.00021190336753820066,,
original_hierarchy,C-8822,72,SCORED,0.010665091448153252,,
original_hierarchy,C-8822,73,SCORED,0.007522265048766512,,
original_hierarchy,C-8822,74,SCORED,0.0013495903913059958,,
original_hierarchy,C-8822,75,SCORED,0.010886216876534634,,
original_hierarchy,C-8822,76,SCORED,0.0007249911964931858,,
original_hierarchy,C-8822,77,SCORED,0.022943935715683803,,
original_hierarchy,C-8822,78,SCORED,0.0003558295887716653,,
original_hierarchy,C-8822,79,SCORED,0.010322330284664012,,
original_hierarchy,C-8822,80,SCORED,5.7374942042531666e-09,,
original_hierarchy,C-8823,0,SCORED,0.006061087350413098,,
original_hierarchy,C-8823,1,SCORED,0.04485041727070542,,
original_hierarchy,C-8823,2,SCORED,0.06751235706063406,,
original_hierarchy,C-8823,3,SCORED,0.010588577867405996,,
original_hierarchy,C-8823,4,SCORED,0.03890824141985745,,
original_hierarchy,C-8823,5,SCORED,0.021357866016003584,,
original_hierarchy,C-8823,6,SCORED,0.001089632844702879,,
original_hierarchy,C-8823,7,SCORED,0.019609128694003934,,
